,exp,beta_i,t0,std,mean
9456,29464,0.006248236946559435,1000,1.3334642002846633,2.8059709797693353
9457,29465,0.006248236946559435,1000,2.134289776488897,2.2571026838892414
9458,29466,0.006248236946559435,1000,1.2270791972752917,2.900719338506473
9459,29467,0.006248236946559435,1000,1.4031181008614175,2.813182020903076
9460,29468,0.006248236946559435,1000,1.4702449795467116,2.769310097582472
9461,29469,0.006248236946559435,1000,1.5311169247963323,2.7396361730535643
9462,29470,0.006248236946559435,1000,2.2475486985669955,2.1981626379774752
9463,29471,0.006248236946559435,1000,1.3703880796177754,2.8257564592471764
9464,29472,0.006248236946559435,1000,1.0719882030287635,2.964407537263046
9465,29473,0.006248236946559435,1000,1.1835557103213734,2.9091816564589066
9466,29474,0.006248236946559435,1000,1.0712199349257938,2.958382690234747
9467,29475,0.006248236946559435,1000,1.556435286116474,2.644978194441534
9468,29476,0.006248236946559435,1000,1.4087050403927666,2.806050407375859
9469,29477,0.006248236946559435,1000,1.2427487677699385,2.898025208353677
9470,29478,0.006248236946559435,1000,1.1134883505070834,2.954699718782955
9471,29479,0.006248236946559435,1000,1.669575250569419,2.657255276782737
9472,29480,0.006248236946559435,1000,1.4789400286238776,2.72194025425052
9473,29481,0.006248236946559435,1000,1.1573263713648658,2.9312888509512405
9474,29482,0.006248236946559435,1000,1.4321136099141607,2.7959782382894316
9475,29483,0.006248236946559435,1000,1.6052408722532951,2.6830353555337614
9476,29484,0.006248236946559435,1000,1.2277031929496844,2.876978272877113
9477,29485,0.006248236946559435,1000,1.6105332737582774,2.7056618454163157
9478,29486,0.006248236946559435,1000,1.023961512959778,2.976407466977073
9479,29487,0.006248236946559435,1000,1.8280186223721646,2.5382601174750623
9480,29488,0.006248236946559435,1000,1.1053497812745194,2.9434226135418973
9481,29489,0.006248236946559435,1000,1.069273357172899,2.941850186446831
9482,29490,0.006248236946559435,1000,1.062848954720668,2.946566054533295
9483,29491,0.006248236946559435,1000,1.014786878235218,2.9807021405645506
9484,29492,0.006248236946559435,1000,1.0625301843013966,2.9656470025080615
9485,29493,0.006248236946559435,1000,1.0955155968936447,2.928676017085288
9486,29494,0.006248236946559435,1000,1.5101077067333113,2.7498979641312946
9487,29495,0.006248236946559435,1000,1.1790048399091773,2.9073719816305355
9488,29496,0.006248236946559435,1000,1.6583614274795084,2.6514349511441697
9489,29497,0.006248236946559435,1000,1.9400833037720322,2.475462447552989
9490,29498,0.006248236946559435,1000,1.5138459383618939,2.7407709097705215
9491,29499,0.006248236946559435,1000,1.2568812613276472,2.873162964782493
9492,29500,0.006248236946559435,1200,1.0870660380261248,2.9213743802699565
9493,29501,0.006248236946559435,1200,1.2810934401219467,2.8720406712231212
9494,29502,0.006248236946559435,1200,1.3597145497100331,2.825369502001147
9495,29503,0.006248236946559435,1200,1.0508232128761914,2.9707909482343022
9496,29504,0.006248236946559435,1200,1.0175640051062778,2.9990074117858465
9497,29505,0.006248236946559435,1200,1.2410167665693743,2.8876045336532163
9498,29506,0.006248236946559435,1200,1.0871717549705295,2.9585104688737456
9499,29507,0.006248236946559435,1200,1.2182863586635775,2.8980633816490124
9500,29508,0.006248236946559435,1200,1.0618335637152634,2.9542969993424193
9501,29509,0.006248236946559435,1200,1.9120224888196113,2.504805732013133
9502,29510,0.006248236946559435,1200,1.4170685848460838,2.7988411103315776
9503,29511,0.006248236946559435,1200,1.455284859524746,2.777885059262951
9504,29512,0.006248236946559435,1200,1.3468815899751037,2.81797823920844
9505,29513,0.006248236946559435,1200,1.074388351254804,2.9673699540149086
9506,29514,0.006248236946559435,1200,1.1673215139524413,2.9220115446669075
9507,29515,0.006248236946559435,1200,1.2433168081258845,2.889461385658234
9508,29516,0.006248236946559435,1200,1.9288560864771216,2.455090581890662
9509,29517,0.006248236946559435,1200,1.973473978915233,2.4728791017521017
9510,29518,0.006248236946559435,1200,1.1371803756584564,2.938450349033284
9511,29519,0.006248236946559435,1200,1.467904311263323,2.7961798282105854
9512,29520,0.006248236946559435,1200,1.613894107973448,2.687346996056893
9513,29521,0.006248236946559435,1200,1.3192174043522513,2.85507903410386
9514,29522,0.006248236946559435,1200,1.2384775238624477,2.8833179145307817
9515,29523,0.006248236946559435,1200,1.9860563547311478,2.433663852302316
9516,29524,0.006248236946559435,1200,1.2633967224912117,2.886864622991987
9517,29525,0.006248236946559435,1200,1.6268758586704302,2.641454153961308
9518,29526,0.006248236946559435,1200,1.3994074753539887,2.8013892241139375
9519,29527,0.006248236946559435,1200,1.025602192428352,2.971898806543717
9520,29528,0.006248236946559435,1200,1.0924215520277043,2.96127642473791
9521,29529,0.006248236946559435,1200,1.1958219288518575,2.9196532357583203
9522,29530,0.006248236946559435,1200,1.846342557553487,2.5413542900162334
9523,29531,0.006248236946559435,1200,1.957281242537403,2.415620349952648
9524,29532,0.006248236946559435,1200,1.8978104316850744,2.4201803046573516
9525,29533,0.006248236946559435,1200,2.317240334935355,2.0543723935999223
9526,29534,0.006248236946559435,1200,1.5776179878771264,2.7258324138359966
9527,29535,0.006248236946559435,1200,1.0449599122090043,2.960982704658418
